Retailer,Retailer ID,Date,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue,Expenses,Profit ,Profit Margin,
Sodapop,1185732,11/4/2022,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$1,440 ","$4,560 ",0.76,
Sodapop,1185732,11/4/2022,Northeast,New York,Diet Coke,$0.50 ,"9,000","$4,500 ",$855 ,"$3,645 ",0.81,
Sodapop,1185732,11/4/2022,Northeast,New York,Sprite,$0.40 ,"9,000","$3,600 ","$1,656 ","$1,944 ",0.54,
Sodapop,1185732,11/4/2022,Northeast,New York,Fanta,$0.45 ,"8,250","$3,713 ",$483 ,"$3,230 ",0.87,
Sodapop,1185732,11/4/2022,Northeast,New York,Powerade,$0.60 ,"8,250","$4,950 ","$1,040 ","$3,911 ",0.79,
Sodapop,1185732,11/4/2022,Northeast,New York,Dasani Water,$0.50 ,"9,500","$4,750 ","$1,948 ","$2,803 ",0.59,
Sodapop,1185732,10/5/2022,Northeast,New York,Coca-Cola,$0.60 ,"12,200","$7,320 ","$1,318 ","$6,002 ",0.82,
Sodapop,1185732,10/5/2022,Northeast,New York,Diet Coke,$0.55 ,"9,250","$5,088 ",$407 ,"$4,681 ",0.92,
Sodapop,1185732,10/5/2022,Northeast,New York,Sprite,$0.50 ,"9,000","$4,500 ","$1,710 ","$2,790 ",0.62,
Sodapop,1185732,10/5/2022,Northeast,New York,Fanta,$0.50 ,"8,500","$4,250 ",$893 ,"$3,358 ",0.79,
Sodapop,1185732,10/5/2022,Northeast,New York,Powerade,$0.60 ,"8,750","$5,250 ","$1,785 ","$3,465 ",0.66,
Sodapop,1185732,10/5/2022,Northeast,New York,Dasani Water,$0.65 ,"10,000","$6,500 ",$780 ,"$5,720 ",0.88,
Sodapop,1185732,12/6/2022,Northeast,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ",$975 ,"$6,525 ",0.87,
Sodapop,1185732,12/6/2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500 ",$935 ,"$4,565 ",0.83,
Sodapop,1185732,12/6/2022,Northeast,New York,Sprite,$0.50 ,"9,250","$4,625 ",$971 ,"$3,654 ",0.79,
Sodapop,1185732,12/6/2022,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500 ",$630 ,"$3,870 ",0.86,
Sodapop,1185732,12/6/2022,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400 ",$270 ,"$5,130 ",0.95,
Sodapop,1185732,12/6/2022,Northeast,New York,Dasani Water,$0.65 ,"10,500","$6,825 ",$546 ,"$6,279 ",0.92,
Sodapop,1185732,10/7/2022,Northeast,New York,Coca-Cola,$0.60 ,"12,750","$7,650 ",$842 ,"$6,809 ",0.89,
Sodapop,1185732,10/7/2022,Northeast,New York,Diet Coke,$0.55 ,"10,250","$5,638 ",$846 ,"$4,792 ",0.85,
Sodapop,1185732,10/7/2022,Northeast,New York,Sprite,$0.50 ,"9,500","$4,750 ","$1,615 ","$3,135 ",0.66,
Sodapop,1185732,10/7/2022,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,530 ","$2,970 ",0.66,
Sodapop,1185732,10/7/2022,Northeast,New York,Powerade,$0.60 ,"9,250","$5,550 ","$1,887 ","$3,663 ",0.66,
Sodapop,1185732,10/7/2022,Northeast,New York,Dasani Water,$0.65 ,"11,000","$7,150 ","$3,504 ","$3,647 ",0.51,
Sodapop,1185732,11/8/2022,Northeast,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ","$1,050 ","$6,450 ",0.86,
Sodapop,1185732,11/8/2022,Northeast,New York,Diet Coke,$0.55 ,"10,250","$5,638 ",$789 ,"$4,848 ",0.86,
Sodapop,1185732,11/8/2022,Northeast,New York,Sprite,$0.50 ,"9,500","$4,750 ",$713 ,"$4,038 ",0.85,
Sodapop,1185732,11/8/2022,Northeast,New York,Fanta,$0.50 ,"9,250","$4,625 ","$1,110 ","$3,515 ",0.76,
Sodapop,1185732,11/8/2022,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,026 ","$4,374 ",0.81,
Sodapop,1185732,11/8/2022,Northeast,New York,Dasani Water,$0.65 ,"10,750","$6,988 ","$3,214 ","$3,773 ",0.54,
Sodapop,1185732,10/9/2022,Northeast,New York,Coca-Cola,$0.60 ,"12,000","$7,200 ",$936 ,"$6,264 ",0.87,
Sodapop,1185732,10/9/2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,155 ","$4,345 ",0.79,
Sodapop,1185732,10/9/2022,Northeast,New York,Sprite,$0.50 ,"9,250","$4,625 ","$1,896 ","$2,729 ",0.59,
Sodapop,1185732,10/9/2022,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500 ",$810 ,"$3,690 ",0.82,
Sodapop,1185732,10/9/2022,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400 ",$432 ,"$4,968 ",0.92,
Sodapop,1185732,10/9/2022,Northeast,New York,Dasani Water,$0.65 ,"10,000","$6,500 ","$1,365 ","$5,135 ",0.79,
Sodapop,1185732,12/10/2022,Northeast,New York,Coca-Cola,$0.65 ,"11,750","$7,638 ","$2,597 ","$5,041 ",0.66,
Sodapop,1185732,12/10/2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500 ",$660 ,"$4,840 ",0.88,
Sodapop,1185732,12/10/2022,Northeast,New York,Sprite,$0.55 ,"9,000","$4,950 ",$644 ,"$4,307 ",0.87,
Sodapop,1185732,12/10/2022,Northeast,New York,Fanta,$0.55 ,"8,750","$4,813 ",$818 ,"$3,994 ",0.83,
Sodapop,1185732,12/10/2022,Northeast,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,194 ","$4,493 ",0.79,
Sodapop,1185732,12/10/2022,Northeast,New York,Dasani Water,$0.70 ,"10,000","$7,000 ",$980 ,"$6,020 ",0.86,
Sodapop,1185732,11/11/2022,Northeast,New York,Coca-Cola,$0.65 ,"11,500","$7,475 ",$374 ,"$7,101 ",0.95,
Sodapop,1185732,11/11/2022,Northeast,New York,Diet Coke,$0.55 ,"9,750","$5,363 ",$429 ,"$4,934 ",0.92,
Sodapop,1185732,11/11/2022,Northeast,New York,Sprite,$0.55 ,"9,200","$5,060 ",$557 ,"$4,503 ",0.89,
Sodapop,1185732,11/11/2022,Northeast,New York,Fanta,$0.55 ,"9,000","$4,950 ",$743 ,"$4,208 ",0.85,
Sodapop,1185732,11/11/2022,Northeast,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,934 ","$3,754 ",0.66,
Sodapop,1185732,11/11/2022,Northeast,New York,Dasani Water,$0.70 ,"9,750","$6,825 ","$2,321 ","$4,505 ",0.66,
Sodapop,1185732,10/12/2022,Northeast,New York,Coca-Cola,$0.65 ,"12,000","$7,800 ","$2,652 ","$5,148 ",0.66,
Sodapop,1185732,10/12/2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$2,695 ","$2,805 ",0.51,
Sodapop,1185732,10/12/2022,Northeast,New York,Sprite,$0.55 ,"9,500","$5,225 ",$732 ,"$4,494 ",0.86,
Sodapop,1185732,10/12/2022,Northeast,New York,Fanta,$0.55 ,"9,000","$4,950 ",$693 ,"$4,257 ",0.86,
Sodapop,1185732,10/12/2022,Northeast,New York,Powerade,$0.65 ,"9,000","$5,850 ",$878 ,"$4,973 ",0.85,
Sodapop,1185732,10/12/2022,Northeast,New York,Dasani Water,$0.70 ,"10,000","$7,000 ","$1,680 ","$5,320 ",0.76,
BevCo,1197831,2/1/2022,South,Texas,Coca-Cola,$0.25 ,"9,000","$2,250 ",$428 ,"$1,823 ",0.81,
BevCo,1197831,2/1/2022,South,Texas,Diet Coke,$0.35 ,"9,000","$3,150 ","$1,449 ","$1,701 ",0.54,
BevCo,1197831,2/1/2022,South,Texas,Sprite,$0.35 ,"7,000","$2,450 ",$319 ,"$2,132 ",0.87,
BevCo,1197831,2/1/2022,South,Texas,Fanta,$0.35 ,"7,000","$2,450 ",$515 ,"$1,936 ",0.79,
BevCo,1197831,2/1/2022,South,Texas,Powerade,$0.40 ,"5,500","$2,200 ",$902 ,"$1,298 ",0.59,
BevCo,1197831,2/1/2022,South,Texas,Dasani Water,$0.35 ,"7,000","$2,450 ",$441 ,"$2,009 ",0.82,
BevCo,1197831,1/2/2022,South,Texas,Coca-Cola,$0.25 ,"8,500","$2,125 ",$170 ,"$1,955 ",0.92,
BevCo,1197831,1/2/2022,South,Texas,Diet Coke,$0.35 ,"8,500","$2,975 ",$625 ,"$2,350 ",0.79,
BevCo,1197831,1/2/2022,South,Texas,Sprite,$0.35 ,"6,750","$2,363 ",$803 ,"$1,559 ",0.66,
BevCo,1197831,1/2/2022,South,Texas,Fanta,$0.35 ,"6,250","$2,188 ",$263 ,"$1,925 ",0.88,
BevCo,1197831,1/2/2022,South,Texas,Powerade,$0.40 ,"5,000","$2,000 ",$260 ,"$1,740 ",0.87,
BevCo,1197831,1/2/2022,South,Texas,Dasani Water,$0.35 ,"7,000","$2,450 ",$417 ,"$2,034 ",0.83,
BevCo,1197831,3/3/2022,South,Texas,Coca-Cola,$0.30 ,"8,750","$2,625 ",$551 ,"$2,074 ",0.79,
BevCo,1197831,3/3/2022,South,Texas,Diet Coke,$0.40 ,"8,750","$3,500 ",$490 ,"$3,010 ",0.86,
BevCo,1197831,3/3/2022,South,Texas,Sprite,$0.35 ,"7,000","$2,450 ",$123 ,"$2,328 ",0.95,
BevCo,1197831,3/3/2022,South,Texas,Fanta,$0.40 ,"6,000","$2,400 ",$192 ,"$2,208 ",0.92,
BevCo,1197831,3/3/2022,South,Texas,Powerade,$0.45 ,"5,000","$2,250 ",$248 ,"$2,003 ",0.89,
BevCo,1197831,3/3/2022,South,Texas,Dasani Water,$0.40 ,"6,500","$2,600 ",$390 ,"$2,210 ",0.85,
BevCo,1197831,2/4/2022,South,Texas,Coca-Cola,$0.30 ,"9,000","$2,700 ",$918 ,"$1,782 ",0.66,
BevCo,1197831,2/4/2022,South,Texas,Diet Coke,$0.40 ,"9,000","$3,600 ","$1,224 ","$2,376 ",0.66,
BevCo,1197831,2/4/2022,South,Texas,Sprite,$0.35 ,"7,250","$2,538 ",$863 ,"$1,675 ",0.66,
BevCo,1197831,2/4/2022,South,Texas,Fanta,$0.40 ,"6,250","$2,500 ","$1,225 ","$1,275 ",0.51,
BevCo,1197831,2/4/2022,South,Texas,Powerade,$0.45 ,"5,250","$2,363 ",$331 ,"$2,032 ",0.86,
BevCo,1197831,2/4/2022,South,Texas,Dasani Water,$0.40 ,"8,000","$3,200 ",$448 ,"$2,752 ",0.86,
BevCo,1197831,2/5/2022,South,Texas,Coca-Cola,$0.30 ,"9,250","$2,775 ",$416 ,"$2,359 ",0.85,
BevCo,1197831,2/5/2022,South,Texas,Diet Coke,$0.40 ,"9,250","$3,700 ",$888 ,"$2,812 ",0.76,
BevCo,1197831,2/5/2022,South,Texas,Sprite,$0.35 ,"7,750","$2,713 ",$515 ,"$2,197 ",0.81,
BevCo,1197831,2/5/2022,South,Texas,Fanta,$0.40 ,"7,000","$2,800 ","$1,288 ","$1,512 ",0.54,
BevCo,1197831,2/5/2022,South,Texas,Powerade,$0.45 ,"6,000","$2,700 ",$351 ,"$2,349 ",0.87,
BevCo,1197831,2/5/2022,South,Texas,Dasani Water,$0.40 ,"9,500","$3,800 ",$798 ,"$3,002 ",0.79,
BevCo,1197831,1/6/2022,South,Texas,Coca-Cola,$0.40 ,"9,500","$3,800 ","$1,558 ","$2,242 ",0.59,
BevCo,1197831,1/6/2022,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275 ",$770 ,"$3,506 ",0.82,
BevCo,1197831,1/6/2022,South,Texas,Sprite,$0.40 ,"8,000","$3,200 ",$256 ,"$2,944 ",0.92,
BevCo,1197831,1/6/2022,South,Texas,Fanta,$0.40 ,"7,500","$3,000 ",$630 ,"$2,370 ",0.79,
BevCo,1197831,1/6/2022,South,Texas,Powerade,$0.45 ,"6,500","$2,925 ",$995 ,"$1,931 ",0.66,
BevCo,1197831,1/6/2022,South,Texas,Dasani Water,$0.50 ,"10,000","$5,000 ",$600 ,"$4,400 ",0.88,
BevCo,1197831,3/7/2022,South,Texas,Coca-Cola,$0.40 ,"9,500","$3,800 ",$494 ,"$3,306 ",0.87,
BevCo,1197831,3/7/2022,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275 ",$727 ,"$3,548 ",0.83,
BevCo,1197831,3/7/2022,South,Texas,Sprite,$0.40 ,"11,000","$4,400 ",$924 ,"$3,476 ",0.79,
BevCo,1197831,3/7/2022,South,Texas,Fanta,$0.40 ,"7,000","$2,800 ",$392 ,"$2,408 ",0.86,
BevCo,1197831,3/7/2022,South,Texas,Powerade,$0.45 ,"7,000","$3,150 ",$158 ,"$2,993 ",0.95,
BevCo,1197831,3/7/2022,South,Texas,Dasani Water,$0.50 ,"9,750","$4,875 ",$390 ,"$4,485 ",0.92,
BevCo,1197831,5/8/2022,South,Texas,Coca-Cola,$0.40 ,"9,250","$3,700 ",$407 ,"$3,293 ",0.89,
BevCo,1197831,5/8/2022,South,Texas,Diet Coke,$0.45 ,"9,250","$4,163 ",$624 ,"$3,538 ",0.85,
BevCo,1197831,5/8/2022,South,Texas,Sprite,$0.40 ,"11,000","$4,400 ","$1,496 ","$2,904 ",0.66,
BevCo,1197831,5/8/2022,South,Texas,Fanta,$0.40 ,"6,500","$2,600 ",$884 ,"$1,716 ",0.66,
BevCo,1197831,5/8/2022,South,Texas,Powerade,$0.45 ,"6,500","$2,925 ",$995 ,"$1,931 ",0.66,
BevCo,1197831,5/8/2022,South,Texas,Dasani Water,$0.50 ,"9,000","$4,500 ","$2,205 ","$2,295 ",0.51,
BevCo,1197831,2/9/2022,South,Texas,Coca-Cola,$0.45 ,"8,500","$3,825 ",$536 ,"$3,290 ",0.86,
BevCo,1197831,2/9/2022,South,Texas,Diet Coke,$0.45 ,"8,500","$3,825 ",$536 ,"$3,290 ",0.86,
BevCo,1197831,2/9/2022,South,Texas,Sprite,$0.50 ,"9,000","$4,500 ",$675 ,"$3,825 ",0.85,
BevCo,1197831,2/9/2022,South,Texas,Fanta,$0.50 ,"6,250","$3,125 ",$750 ,"$2,375 ",0.76,
BevCo,1197831,2/9/2022,South,Texas,Powerade,$0.45 ,"6,250","$2,813 ",$534 ,"$2,278 ",0.81,
BevCo,1197831,2/9/2022,South,Texas,Dasani Water,$0.55 ,"8,500","$4,675 ","$2,151 ","$2,525 ",0.54,
BevCo,1197831,1/10/2022,South,Texas,Coca-Cola,$0.45 ,"8,000","$3,600 ",$468 ,"$3,132 ",0.87,
BevCo,1197831,1/10/2022,South,Texas,Diet Coke,$0.45 ,"8,000","$3,600 ",$756 ,"$2,844 ",0.79,
BevCo,1197831,1/10/2022,South,Texas,Sprite,$0.50 ,"7,500","$3,750 ","$1,538 ","$2,213 ",0.59,
BevCo,1197831,1/10/2022,South,Texas,Fanta,$0.50 ,"6,000","$3,000 ",$540 ,"$2,460 ",0.82,
BevCo,1197831,1/10/2022,South,Texas,Powerade,$0.45 ,"5,750","$2,588 ",$207 ,"$2,381 ",0.92,
BevCo,1197831,1/10/2022,South,Texas,Dasani Water,$0.55 ,"7,500","$4,125 ",$866 ,"$3,259 ",0.79,
BevCo,1197831,2/11/2022,South,Texas,Coca-Cola,$0.45 ,"9,000","$4,050 ","$1,377 ","$2,673 ",0.66,
BevCo,1197831,2/11/2022,South,Texas,Diet Coke,$0.45 ,"9,000","$4,050 ",$486 ,"$3,564 ",0.88,
BevCo,1197831,2/11/2022,South,Texas,Sprite,$0.50 ,"8,250","$4,125 ",$536 ,"$3,589 ",0.87,
BevCo,1197831,2/11/2022,South,Texas,Fanta,$0.50 ,"6,750","$3,375 ",$574 ,"$2,801 ",0.83,
BevCo,1197831,2/11/2022,South,Texas,Powerade,$0.45 ,"6,500","$2,925 ",$614 ,"$2,311 ",0.79,
BevCo,1197831,2/11/2022,South,Texas,Dasani Water,$0.55 ,"8,500","$4,675 ",$655 ,"$4,021 ",0.86,
BevCo,1197831,1/12/2022,South,Texas,Coca-Cola,$0.45 ,"9,500","$4,275 ",$214 ,"$4,061 ",0.95,
BevCo,1197831,1/12/2022,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275 ",$342 ,"$3,933 ",0.92,
BevCo,1197831,1/12/2022,South,Texas,Sprite,$0.50 ,"8,500","$4,250 ",$468 ,"$3,783 ",0.89,
BevCo,1197831,1/12/2022,South,Texas,Fanta,$0.50 ,"7,000","$3,500 ",$525 ,"$2,975 ",0.85,
BevCo,1197831,1/12/2022,South,Texas,Powerade,$0.45 ,"6,500","$2,925 ",$995 ,"$1,931 ",0.66,
BevCo,1197831,1/12/2022,South,Texas,Dasani Water,$0.55 ,"9,000","$4,950 ","$1,683 ","$3,267 ",0.66,
FizzySip,1128299,20/1/2022,West,California,Coca-Cola,$0.40 ,"7,750","$3,100 ","$1,054 ","$2,046 ",0.66,
FizzySip,1128299,20/1/2022,West,California,Diet Coke,$0.50 ,"7,750","$3,875 ","$1,899 ","$1,976 ",0.51,
FizzySip,1128299,20/1/2022,West,California,Sprite,$0.50 ,"7,750","$3,875 ",$543 ,"$3,333 ",0.86,
FizzySip,1128299,20/1/2022,West,California,Fanta,$0.50 ,"6,250","$3,125 ",$438 ,"$2,688 ",0.86,
FizzySip,1128299,20/1/2022,West,California,Powerade,$0.55 ,"5,750","$3,163 ",$474 ,"$2,688 ",0.85,
FizzySip,1128299,20/1/2022,West,California,Dasani Water,$0.50 ,"7,750","$3,875 ",$930 ,"$2,945 ",0.76,
FizzySip,1128299,20/2/2022,West,California,Coca-Cola,$0.40 ,"8,250","$3,300 ",$627 ,"$2,673 ",0.81,
FizzySip,1128299,20/2/2022,West,California,Diet Coke,$0.50 ,"7,250","$3,625 ","$1,668 ","$1,958 ",0.54,
FizzySip,1128299,20/2/2022,West,California,Sprite,$0.50 ,"7,250","$3,625 ",$471 ,"$3,154 ",0.87,
FizzySip,1128299,20/2/2022,West,California,Fanta,$0.50 ,"5,750","$2,875 ",$604 ,"$2,271 ",0.79,
FizzySip,1128299,20/2/2022,West,California,Powerade,$0.55 ,"5,000","$2,750 ","$1,128 ","$1,623 ",0.59,
FizzySip,1128299,20/2/2022,West,California,Dasani Water,$0.50 ,"7,000","$3,500 ",$630 ,"$2,870 ",0.82,
FizzySip,1128299,19/3/2022,West,California,Coca-Cola,$0.50 ,"8,500","$4,250 ",$340 ,"$3,910 ",0.92,
FizzySip,1128299,19/3/2022,West,California,Diet Coke,$0.60 ,"7,000","$4,200 ","$1,596 ","$2,604 ",0.62,
FizzySip,1128299,19/3/2022,West,California,Sprite,$0.60 ,"7,000","$4,200 ",$882 ,"$3,318 ",0.79,
FizzySip,1128299,19/3/2022,West,California,Fanta,$0.60 ,"6,000","$3,600 ","$1,224 ","$2,376 ",0.66,
FizzySip,1128299,19/3/2022,West,California,Powerade,$0.65 ,"5,000","$3,250 ",$390 ,"$2,860 ",0.88,
FizzySip,1128299,19/3/2022,West,California,Dasani Water,$0.60 ,"7,000","$4,200 ",$546 ,"$3,654 ",0.87,
FizzySip,1128299,20/4/2022,West,California,Coca-Cola,$0.60 ,"8,750","$5,250 ",$893 ,"$4,358 ",0.83,
FizzySip,1128299,20/4/2022,West,California,Diet Coke,$0.65 ,"6,750","$4,388 ",$921 ,"$3,466 ",0.79,
FizzySip,1128299,20/4/2022,West,California,Sprite,$0.65 ,"7,250","$4,713 ",$660 ,"$4,053 ",0.86,
FizzySip,1128299,20/4/2022,West,California,Fanta,$0.60 ,"6,250","$3,750 ",$188 ,"$3,563 ",0.95,
FizzySip,1128299,20/4/2022,West,California,Powerade,$0.65 ,"5,250","$3,413 ",$273 ,"$3,140 ",0.92,
FizzySip,1128299,20/4/2022,West,California,Dasani Water,$0.80 ,"7,000","$5,600 ",$616 ,"$4,984 ",0.89,
FizzySip,1128299,21/5/2022,West,California,Coca-Cola,$0.60 ,"9,000","$5,400 ",$810 ,"$4,590 ",0.85,
FizzySip,1128299,21/5/2022,West,California,Diet Coke,$0.65 ,"7,500","$4,875 ","$1,658 ","$3,218 ",0.66,
FizzySip,1128299,21/5/2022,West,California,Sprite,$0.65 ,"7,500","$4,875 ","$1,658 ","$3,218 ",0.66,
FizzySip,1128299,21/5/2022,West,California,Fanta,$0.60 ,"6,500","$3,900 ","$1,326 ","$2,574 ",0.66,
FizzySip,1128299,21/5/2022,West,California,Powerade,$0.65 ,"5,500","$3,575 ","$1,752 ","$1,823 ",0.51,
FizzySip,1128299,21/5/2022,West,California,Dasani Water,$0.80 ,"7,250","$5,800 ",$812 ,"$4,988 ",0.86,
FizzySip,1128299,20/6/2022,West,California,Coca-Cola,$0.60 ,"9,750","$5,850 ",$819 ,"$5,031 ",0.86,
FizzySip,1128299,20/6/2022,West,California,Diet Coke,$0.65 ,"8,250","$5,363 ",$804 ,"$4,558 ",0.85,
FizzySip,1128299,20/6/2022,West,California,Sprite,$0.65 ,"8,250","$5,363 ","$1,287 ","$4,076 ",0.76,
FizzySip,1128299,20/6/2022,West,California,Fanta,$0.60 ,"7,000","$4,200 ",$798 ,"$3,402 ",0.81,
FizzySip,1128299,20/6/2022,West,California,Powerade,$0.65 ,"5,750","$3,738 ","$1,719 ","$2,018 ",0.54,
FizzySip,1128299,20/6/2022,West,California,Dasani Water,$0.80 ,"8,750","$7,000 ",$910 ,"$6,090 ",0.87,
FizzySip,1128299,19/7/2022,West,California,Coca-Cola,$0.60 ,"10,250","$6,150 ","$1,292 ","$4,859 ",0.79,
FizzySip,1128299,19/7/2022,West,California,Diet Coke,$0.65 ,"8,750","$5,688 ","$2,332 ","$3,356 ",0.59,
FizzySip,1128299,19/7/2022,West,California,Sprite,$0.65 ,"8,250","$5,363 ",$965 ,"$4,397 ",0.82,
FizzySip,1128299,19/7/2022,West,California,Fanta,$0.60 ,"7,250","$4,350 ",$348 ,"$4,002 ",0.92,
FizzySip,1128299,19/7/2022,West,California,Powerade,$0.65 ,"7,750","$5,038 ","$1,914 ","$3,123 ",0.62,
FizzySip,1128299,19/7/2022,West,California,Dasani Water,$0.80 ,"7,750","$6,200 ","$1,302 ","$4,898 ",0.79,
FizzySip,1128299,20/8/2022,West,California,Coca-Cola,$0.65 ,"9,750","$6,338 ","$2,155 ","$4,183 ",0.66,
FizzySip,1128299,20/8/2022,West,California,Diet Coke,$0.70 ,"9,250","$6,475 ",$777 ,"$5,698 ",0.88,
FizzySip,1128299,20/8/2022,West,California,Sprite,$0.65 ,"8,000","$5,200 ",$676 ,"$4,524 ",0.87,
FizzySip,1128299,20/8/2022,West,California,Fanta,$0.65 ,"7,500","$4,875 ",$829 ,"$4,046 ",0.83,
FizzySip,1128299,20/8/2022,West,California,Powerade,$0.75 ,"7,500","$5,625 ","$1,181 ","$4,444 ",0.79,
FizzySip,1128299,20/8/2022,West,California,Dasani Water,$0.80 ,"7,250","$5,800 ",$812 ,"$4,988 ",0.86,
FizzySip,1128299,21/9/2022,West,California,Coca-Cola,$0.55 ,"9,250","$5,088 ",$254 ,"$4,833 ",0.95,
FizzySip,1128299,21/9/2022,West,California,Diet Coke,$0.60 ,"9,250","$5,550 ",$444 ,"$5,106 ",0.92,
FizzySip,1128299,21/9/2022,West,California,Sprite,$0.55 ,"7,750","$4,263 ",$469 ,"$3,794 ",0.89,
FizzySip,1128299,21/9/2022,West,California,Fanta,$0.55 ,"7,250","$3,988 ",$598 ,"$3,389 ",0.85,
FizzySip,1128299,21/9/2022,West,California,Powerade,$0.65 ,"7,250","$4,713 ","$1,602 ","$3,110 ",0.66,
FizzySip,1128299,21/9/2022,West,California,Dasani Water,$0.70 ,"7,750","$5,425 ","$1,845 ","$3,581 ",0.66,
FizzySip,1128299,20/10/2022,West,California,Coca-Cola,$0.55 ,"8,750","$4,813 ","$1,636 ","$3,176 ",0.66,
FizzySip,1128299,20/10/2022,West,California,Diet Coke,$0.60 ,"8,750","$5,250 ","$2,573 ","$2,678 ",0.51,
FizzySip,1128299,20/10/2022,West,California,Sprite,$0.55 ,"7,000","$3,850 ",$539 ,"$3,311 ",0.86,
FizzySip,1128299,20/10/2022,West,California,Fanta,$0.55 ,"6,750","$3,713 ",$520 ,"$3,193 ",0.86,
FizzySip,1128299,20/10/2022,West,California,Powerade,$0.65 ,"6,500","$4,225 ",$634 ,"$3,591 ",0.85,
FizzySip,1128299,20/10/2022,West,California,Dasani Water,$0.70 ,"7,000","$4,900 ","$1,176 ","$3,724 ",0.76,
FizzySip,1128299,20/11/2022,West,California,Coca-Cola,$0.55 ,"8,750","$4,813 ",$914 ,"$3,898 ",0.81,
FizzySip,1128299,20/11/2022,West,California,Diet Coke,$0.60 ,"8,750","$5,250 ","$2,415 ","$2,835 ",0.54,
FizzySip,1128299,20/11/2022,West,California,Sprite,$0.55 ,"7,250","$3,988 ",$518 ,"$3,469 ",0.87,
FizzySip,1128299,20/11/2022,West,California,Fanta,$0.55 ,"7,000","$3,850 ",$809 ,"$3,042 ",0.79,
FizzySip,1128299,20/11/2022,West,California,Powerade,$0.65 ,"6,500","$4,225 ","$1,732 ","$2,493 ",0.59,
