Transaction_ID,Date,Customer_ID,Product_Category,Product,Price,Quantity,Shipping_Cost,Discount,Profit
209,2023-12-26,6802,Sports,Smartphone,557.21,3,14.38,0.27,-10.06
210,2023-12-27,9061,Sports,Smartphone,168.49,3,12.33,0.28,166.92
211,2023-12-28,8369,Sports,Shoes,864.91,3,6.91,0.14,206.62
212,2023-12-29,5262,Fashion,Shoes,1113.1,3,30.15,0.35,292.7
213,2023-12-30,5623,Home Decor,Shoes,,2,29.51,0.26,236.36
214,2023-12-31,6016,Electronics,Sofa,1443.66,3,14.24,0.29,61.16
215,2024-01-01,8643,Beauty,Lipstick,1291.1,1,36.29,0.11,204.16
216,2024-01-02,9976,Sports,Washing Machine,672.31,1,38.35,0.0,221.88
217,2024-01-03,7049,Sports,Lipstick,,1,16.66,0.35,210.81
218,2024-01-04,8723,Home Decor,Lipstick,1300.9,1,20.48,0.33,240.65
219,2024-01-05,9548,Home Decor,Sofa,1278.52,2,49.57,0.05,268.23
220,2024-01-06,8108,Fashion,Watch,1111.32,4,21.84,0.15,2.48
221,2024-01-07,9090,Fashion,Watch,32.67,4,39.24,0.26,4.57
222,2024-01-08,7056,Sports,Sofa,1396.05,3,25.37,0.26,232.81
223,2024-01-09,8170,Home Decor,Shoes,758.32,3,40.7,0.34,53.28
224,2024-01-10,6682,Electronics,Smartphone,1885.79,1,39.61,0.06,-10.68
225,2024-01-11,7255,Beauty,Treadmill,1637.79,1,35.05,0.17,102.41
226,2024-01-12,6154,Home Decor,Treadmill,1179.51,4,43.47,0.04,240.56
227,2024-01-13,9499,Home Decor,Washing Machine,511.84,4,47.26,0.16,11.77
228,2024-01-14,8191,Fashion,Smartphone,415.4,1,31.1,0.01,191.71
229,2024-01-15,6696,Beauty,Washing Machine,687.37,3,15.69,0.36,-28.81
230,2024-01-16,8991,Sports,Shoes,958.37,2,22.94,0.21,6.21
231,2024-01-17,9723,Home Decor,Washing Machine,599.17,2,39.12,0.34,85.78
232,2024-01-18,9682,Sports,Smartphone,1034.71,4,34.29,0.02,-2.41
233,2024-01-19,6648,Home Decor,Smartphone,339.09,4,13.0,0.09,249.15
234,2024-01-20,6445,Sports,Treadmill,1955.65,4,7.31,0.1,255.14
235,2024-01-21,9199,Beauty,Watch,224.77,2,35.73,0.15,219.34
236,2024-01-22,8923,Fashion,Shoes,1864.57,2,16.3,0.32,50.02
237,2024-01-23,5253,Beauty,Sofa,1828.02,1,27.49,0.15,142.67
238,2024-01-24,8183,Electronics,Washing Machine,1055.47,3,38.6,0.08,30.78
239,2024-01-25,7557,Fashion,Treadmill,1452.57,4,30.32,0.03,62.82
240,2024-01-26,5098,Beauty,Washing Machine,877.74,1,8.75,0.03,140.28
241,2024-01-27,7200,Electronics,Washing Machine,1263.77,2,13.35,0.3,212.55
242,2024-01-28,7961,Home Decor,Sofa,687.75,1,14.87,0.18,1.24
243,2024-01-29,9973,Home Decor,Shoes,609.31,2,16.6,0.29,67.91
244,2024-01-30,9433,Sports,Smartphone,1160.68,3,30.44,0.27,275.79
245,2024-01-31,8777,Fashion,Lipstick,1001.28,2,27.68,0.05,111.61
246,2024-02-01,7869,Home Decor,Washing Machine,1163.28,1,14.14,0.06,279.83
247,2024-02-02,8234,Fashion,Lipstick,580.45,3,8.04,0.3,297.16
248,2024-02-03,8791,Home Decor,Shoes,740.25,2,12.71,0.29,143.8
249,2024-02-04,5956,Sports,Lipstick,176.96,4,49.3,0.15,65.05
250,2024-02-05,9067,Beauty,Washing Machine,114.03,2,26.08,0.03,230.96
251,2024-02-06,5160,Sports,Sofa,514.38,3,44.03,0.0,22.57
252,2024-02-07,9493,Electronics,Lipstick,157.75,1,43.19,0.12,53.18
253,2024-02-08,6300,Home Decor,Shoes,,3,28.02,0.0,229.01
254,2024-02-09,9911,Electronics,Shoes,1627.73,1,36.8,0.09,113.1
255,2024-02-10,8987,Electronics,Watch,87.36,2,13.67,0.17,36.51
256,2024-02-11,6527,Fashion,Watch,1321.3,2,35.98,0.05,184.87
257,2024-02-12,6218,Home Decor,Sofa,552.39,3,17.26,0.04,211.81
258,2024-02-13,9496,Electronics,Lipstick,1744.38,4,42.44,0.36,11.27
259,2024-02-14,9735,Beauty,Lipstick,975.13,2,8.77,0.23,61.4
260,2024-02-15,8104,Electronics,Watch,618.1,4,39.79,0.37,43.02
261,2024-02-16,7735,Beauty,Smartphone,1040.1,4,9.5,0.14,95.35
262,2024-02-17,9555,Fashion,Treadmill,770.1,3,44.65,0.27,221.94
263,2024-02-18,5954,Electronics,Shoes,1132.96,2,18.69,0.08,205.52
264,2024-02-19,9565,Sports,Smartphone,237.92,4,34.45,0.25,188.63
265,2024-02-20,8446,Fashion,Shoes,1994.01,2,26.94,0.05,-27.93
266,2024-02-21,6045,Beauty,Smartphone,856.86,1,21.48,0.0,16.91
267,2024-02-22,6693,Fashion,Watch,702.98,4,34.04,0.37,43.69
268,2024-02-23,8436,Electronics,Watch,1423.32,3,47.64,0.22,59.75
269,2024-02-24,5562,Home Decor,Treadmill,734.16,3,6.86,0.37,18.32
270,2024-02-25,7485,Home Decor,Smartphone,1668.22,4,46.35,0.13,105.4
271,2024-02-26,8354,Beauty,Shoes,914.0,2,32.41,0.13,-5.19
272,2024-02-27,5225,Beauty,Lipstick,1441.92,1,41.33,0.16,217.51
273,2024-02-28,9893,Home Decor,Shoes,223.83,1,22.27,0.28,229.95
274,2024-02-29,5959,Beauty,Washing Machine,1693.78,3,26.23,0.23,159.51
275,2024-03-01,9548,Fashion,Watch,1474.08,3,44.1,0.37,-0.4
276,2024-03-02,8067,Sports,Sofa,431.32,2,23.67,0.01,263.73
277,2024-03-03,5815,Sports,Sofa,299.12,3,29.06,0.28,288.66
278,2024-03-04,9754,Fashion,Watch,639.42,2,5.91,0.13,36.78
279,2024-03-05,9642,Sports,Washing Machine,1952.38,4,12.14,0.07,202.53
280,2024-03-06,8120,Electronics,Sofa,521.09,1,33.88,0.2,247.84
281,2024-03-07,5016,Fashion,Watch,917.69,4,37.26,0.2,
282,2024-03-08,6243,Beauty,Sofa,69.74,3,31.22,0.05,76.7
283,2024-03-09,7205,Fashion,Watch,800.48,1,11.45,0.08,127.92
284,2024-03-10,7524,Home Decor,Treadmill,1146.93,1,25.04,0.16,139.05
285,2024-03-11,6069,Beauty,Lipstick,1906.72,4,20.98,0.16,102.21
286,2024-03-12,8444,Home Decor,Lipstick,1038.3,2,27.3,0.13,276.85
287,2024-03-13,7565,Beauty,Shoes,1640.02,1,44.16,0.06,215.48
288,2024-03-14,6060,Sports,Washing Machine,1098.78,2,39.91,0.0,49.63
289,2024-03-15,7327,Fashion,Watch,91.16,4,8.78,0.39,163.23
290,2024-03-16,8420,Electronics,Smartphone,636.87,4,45.06,0.38,197.27
291,2024-03-17,5301,Beauty,Shoes,1155.34,2,26.23,0.19,16.25
292,2024-03-18,9276,Beauty,Shoes,1901.68,4,38.47,0.4,88.28
293,2024-03-19,5606,Home Decor,Watch,1719.67,1,11.3,0.27,268.83
294,2024-03-20,8170,Sports,Watch,464.43,4,35.18,0.03,157.17
295,2024-03-21,5699,Home Decor,Shoes,448.02,4,15.63,0.05,41.61
296,2024-03-22,6139,Home Decor,Shoes,410.33,1,24.73,0.37,10.52
297,2024-03-23,5190,Sports,Lipstick,1845.77,2,5.76,0.25,141.01
298,2024-03-24,7300,Electronics,Smartphone,1706.81,4,11.82,0.34,150.74
299,2024-03-25,5980,Home Decor,Shoes,1552.02,2,9.14,0.36,80.36
300,2024-03-26,7975,Home Decor,Lipstick,791.54,1,15.79,0.18,178.04
301,2024-03-27,6184,Beauty,Shoes,1013.72,2,9.5,0.02,-7.33
302,2024-03-28,8327,Sports,Sofa,934.02,2,36.14,0.08,17.9
303,2024-03-29,8394,Fashion,Shoes,514.26,3,6.31,0.03,
304,2024-03-30,5127,Electronics,Watch,1015.01,3,32.8,0.08,-9.6
305,2024-03-31,7065,Electronics,Washing Machine,70.69,4,11.33,0.16,260.7
306,2024-04-01,6816,Sports,Washing Machine,272.3,3,47.53,0.05,16.91
307,2024-04-02,5569,Beauty,Shoes,1774.31,3,46.99,0.07,192.39
308,2024-04-03,6895,Beauty,Treadmill,1505.84,3,15.15,0.18,99.1
309,2024-04-04,7733,Sports,Sofa,851.51,2,32.65,0.14,
310,2024-04-05,8863,Beauty,Smartphone,1039.13,2,6.26,0.19,222.41
311,2024-04-06,9721,Electronics,Shoes,,3,46.93,0.17,134.82
312,2024-04-07,9014,Electronics,Smartphone,1484.15,1,28.53,0.26,209.47
313,2024-04-08,7901,Fashion,Sofa,1570.53,3,6.95,0.37,136.71
314,2024-04-09,6686,Sports,Shoes,1528.94,1,20.41,0.04,165.66
315,2024-04-10,8009,Home Decor,Treadmill,1448.0,2,8.46,0.04,221.04
316,2024-04-11,5154,Home Decor,Lipstick,416.96,1,22.68,0.34,170.41
317,2024-04-12,7537,Fashion,Treadmill,682.56,2,35.15,0.2,173.15
318,2024-04-13,6409,Fashion,Watch,944.99,1,26.15,0.31,230.44
319,2024-04-14,9057,Beauty,Treadmill,668.28,2,22.27,0.09,283.2
320,2024-04-15,5784,Fashion,Lipstick,1512.33,2,10.36,0.33,94.32
321,2024-04-16,8175,Fashion,Watch,665.41,3,16.02,0.37,160.45
322,2024-04-17,9341,Home Decor,Lipstick,285.08,4,9.51,0.25,-1.53
323,2024-04-18,7806,Beauty,Washing Machine,804.09,4,41.34,0.04,88.41
324,2024-04-19,5537,Fashion,Lipstick,1960.03,2,11.09,0.36,105.98
325,2024-04-20,6841,Fashion,Shoes,459.5,3,31.79,0.32,245.63
326,2024-04-21,7455,Beauty,Smartphone,1228.2,4,20.42,0.3,139.42
327,2024-04-22,5524,Sports,Washing Machine,871.62,4,15.17,0.01,211.25
328,2024-04-23,7950,Beauty,Washing Machine,151.34,3,33.78,0.32,-23.73
329,2024-04-24,9131,Home Decor,Smartphone,980.87,3,25.57,0.06,123.28
330,2024-04-25,9780,Sports,Washing Machine,1407.31,4,23.01,0.09,267.43
331,2024-04-26,9115,Electronics,Lipstick,1031.31,4,31.68,0.23,44.02
332,2024-04-27,7368,Beauty,Treadmill,1745.49,1,27.11,0.11,-19.6
333,2024-04-28,8847,Home Decor,Sofa,584.98,1,18.66,0.26,113.02
334,2024-04-29,9495,Sports,Lipstick,,2,30.16,0.24,202.46
335,2024-04-30,7701,Beauty,Watch,1873.77,4,35.13,0.04,119.97
336,2024-05-01,5971,Fashion,Watch,762.61,3,6.2,0.26,121.79
337,2024-05-02,6166,Beauty,Treadmill,1157.05,3,25.96,0.37,191.04
338,2024-05-03,9929,Electronics,Treadmill,1586.09,4,7.6,0.06,53.95
339,2024-05-04,7774,Beauty,Washing Machine,655.38,2,13.39,0.24,218.12
